,tourney_id,tourney_name,surface,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,w_ace_pct,w_df_pct,w_1stIn_pct,w_2ndIn_pct,w_1stWon_pct,w_2ndWon_pct,w_GmsWon,w_GmsLoss,l_ace_pct,l_df_pct,l_1stIn_pct,l_2ndIn_pct,l_1stWon_pct,l_2ndWon_pct,year,winner_age_bucket
36,2007-339,Adelaide,Hard,A,20070101,537,104589,Chris Guccione,L,201.0,AUS,21.42,105223,Juan Martin Del Potro,R,198.0,ARG,18.27,5-7 6-3 7-5,3,SF,123.0,19.0,1.0,103.0,63.0,46.0,24.0,17.0,1.0,2.0,8.0,2.0,96.0,61.0,45.0,19.0,16.0,4.0,6.0,153.0,287.0,92.0,445.0,0.18,0.01,0.61,0.39,0.45,0.23,18.0,15.0,0.08,0.02,0.64,0.36,0.47,0.2,2007,20-24
39,2007-891,Chennai,Hard,A,20070101,1,104745,Rafael Nadal,L,185.0,ESP,20.58,102783,Rainer Schuettler,R,180.0,GER,30.69,6-4 6-2,3,R32,87.0,5.0,2.0,50.0,23.0,18.0,18.0,9.0,2.0,3.0,2.0,2.0,63.0,33.0,24.0,10.0,9.0,6.0,10.0,2.0,4470.0,96.0,435.0,0.1,0.04,0.46,0.54,0.36,0.36,12.0,6.0,0.03,0.03,0.52,0.48,0.38,0.16,2007,20-24
42,2007-891,Chennai,Hard,A,20070101,4,103917,Nicolas Mahut,R,190.0,FRA,24.94,104268,Alejandro Falla,L,185.0,COL,23.13,7-5 6-4,3,R32,105.0,4.0,5.0,75.0,34.0,28.0,21.0,11.0,7.0,8.0,4.0,2.0,72.0,40.0,26.0,17.0,11.0,8.0,11.0,66.0,552.0,107.0,407.0,0.05,0.07,0.45,0.55,0.37,0.28,13.0,9.0,0.06,0.03,0.56,0.44,0.36,0.24,2007,20-24
55,2007-891,Chennai,Hard,A,20070101,17,104745,Rafael Nadal,L,185.0,ESP,20.58,104816,Karan Rastogi,R,178.0,IND,20.23,6-4 6-1,3,R16,84.0,5.0,1.0,46.0,26.0,19.0,15.0,8.0,0.0,0.0,0.0,1.0,61.0,35.0,17.0,15.0,9.0,3.0,7.0,2.0,4470.0,480.0,58.0,0.11,0.02,0.57,0.43,0.41,0.33,12.0,5.0,0.0,0.02,0.57,0.43,0.28,0.25,2007,20-24
59,2007-891,Chennai,Hard,A,20070101,21,102905,Stefan Koubek,L,175.0,AUT,30.0,103387,Paradorn Srichaphan,R,185.0,THA,27.55,6-1 6-2,3,R16,48.0,3.0,1.0,41.0,26.0,23.0,10.0,8.0,0.0,0.0,1.0,2.0,44.0,28.0,14.0,6.0,7.0,1.0,5.0,80.0,490.0,53.0,725.0,0.07,0.02,0.63,0.37,0.56,0.24,12.0,3.0,0.02,0.05,0.64,0.36,0.32,0.14,2007,30-34
63,2007-891,Chennai,Hard,A,20070101,25,104745,Rafael Nadal,L,185.0,ESP,20.58,102106,Davide Sanguinetti,R,188.0,ITA,34.35,6-3 6-2,3,QF,60.0,7.0,3.0,42.0,21.0,20.0,16.0,9.0,0.0,0.0,2.0,0.0,49.0,28.0,17.0,9.0,8.0,7.0,10.0,2.0,4470.0,106.0,409.0,0.17,0.07,0.5,0.5,0.48,0.38,12.0,5.0,0.04,0.0,0.57,0.43,0.35,0.18,2007,20-24
65,2007-891,Chennai,Hard,A,20070101,27,102905,Stefan Koubek,L,175.0,AUT,30.0,103898,Julien Benneteau,R,185.0,FRA,25.03,6-1 6-2,3,QF,61.0,1.0,0.0,48.0,25.0,19.0,14.0,8.0,0.0,0.0,0.0,3.0,45.0,27.0,15.0,8.0,7.0,6.0,10.0,80.0,490.0,40.0,877.0,0.02,0.0,0.52,0.48,0.4,0.29,12.0,3.0,0.0,0.07,0.6,0.4,0.33,0.18,2007,30-34
67,2007-891,Chennai,Hard,A,20070101,29,103598,Xavier Malisse,R,185.0,BEL,26.45,104745,Rafael Nadal,L,185.0,ESP,20.58,6-4 7-6(4),3,SF,127.0,7.0,1.0,91.0,62.0,41.0,19.0,11.0,7.0,7.0,2.0,0.0,67.0,43.0,33.0,14.0,11.0,4.0,5.0,37.0,910.0,2.0,4470.0,0.08,0.01,0.68,0.32,0.45,0.21,12.0,10.0,0.03,0.0,0.64,0.36,0.49,0.21,2007,25-29
68,2007-891,Chennai,Hard,A,20070101,30,102905,Stefan Koubek,L,175.0,AUT,30.0,102845,Carlos Moya,R,190.0,ESP,30.35,6-3 6-1,3,SF,63.0,5.0,1.0,49.0,28.0,23.0,13.0,8.0,2.0,2.0,5.0,4.0,59.0,36.0,20.0,9.0,8.0,7.0,11.0,80.0,490.0,43.0,835.0,0.1,0.02,0.57,0.43,0.47,0.27,12.0,4.0,0.08,0.07,0.61,0.39,0.34,0.15,2007,30-34
69,2007-891,Chennai,Hard,A,20070101,31,103598,Xavier Malisse,R,185.0,BEL,26.45,102905,Stefan Koubek,L,175.0,AUT,30.0,6-1 6-3,3,F,61.0,6.0,0.0,47.0,31.0,23.0,10.0,8.0,2.0,3.0,0.0,2.0,47.0,26.0,15.0,6.0,8.0,2.0,7.0,37.0,910.0,80.0,490.0,0.13,0.0,0.66,0.34,0.49,0.21,12.0,4.0,0.0,0.04,0.55,0.45,0.32,0.13,2007,25-29
72,2007-451,Doha,Hard,A,20070101,3,103487,Federico Luzzi,R,188.0,ITA,27.0,103781,Jurgen Melzer,L,183.0,AUT,25.61,5-7 6-4 7-5,3,R32,152.0,8.0,7.0,127.0,72.0,59.0,21.0,17.0,11.0,13.0,9.0,2.0,110.0,73.0,49.0,21.0,17.0,4.0,7.0,147.0,311.0,41.0,865.0,0.06,0.06,0.57,0.43,0.46,0.17,18.0,16.0,0.08,0.02,0.66,0.34,0.45,0.19,2007,25-29
85,2007-451,Doha,Hard,A,20070101,16,103344,Ivan Ljubicic,R,193.0,CRO,27.79,103823,Denis Gremelmayr,L,183.0,GER,25.38,6-1 6-2,3,R32,59.0,9.0,5.0,52.0,30.0,26.0,11.0,8.0,2.0,2.0,0.0,0.0,38.0,21.0,15.0,4.0,7.0,2.0,6.0,5.0,2495.0,146.0,313.0,0.17,0.1,0.58,0.42,0.5,0.21,12.0,3.0,0.0,0.0,0.55,0.45,0.39,0.11,2007,25-29
105,2007-301,Auckland,Hard,A,20070108,5,103694,Olivier Rochus,R,168.0,BEL,25.97,103813,Jarkko Nieminen,L,185.0,FIN,25.46,7-6(3) 6-1,3,R32,83.0,1.0,2.0,71.0,48.0,34.0,12.0,10.0,9.0,11.0,2.0,3.0,57.0,29.0,19.0,10.0,9.0,1.0,5.0,36.0,910.0,17.0,1460.0,0.01,0.03,0.68,0.32,0.48,0.17,12.0,7.0,0.04,0.05,0.51,0.49,0.33,0.18,2007,25-29
133,2007-338,Sydney,Hard,A,20070108,2,103781,Jurgen Melzer,L,183.0,AUT,25.63,102148,Fabrice Santoro,R,178.0,FRA,34.08,6-2 2-6 6-4,3,R32,94.0,5.0,2.0,78.0,45.0,29.0,18.0,13.0,3.0,7.0,7.0,1.0,80.0,46.0,29.0,18.0,13.0,6.0,11.0,40.0,865.0,50.0,740.0,0.06,0.03,0.58,0.42,0.37,0.23,14.0,12.0,0.09,0.01,0.57,0.42,0.36,0.22,2007,25-29
135,2007-338,Sydney,Hard,A,20070108,4,104607,Tomas Berdych,R,196.0,CZE,21.31,104635,Robert Smeets,L,188.0,AUS,21.16,6-2 7-5,3,R32,88.0,2.0,0.0,60.0,36.0,28.0,12.0,10.0,3.0,5.0,2.0,9.0,75.0,41.0,27.0,10.0,10.0,9.0,14.0,13.0,1655.0,368.0,92.0,0.03,0.0,0.6,0.4,0.47,0.2,13.0,7.0,0.03,0.12,0.55,0.45,0.36,0.13,2007,20-24
137,2007-338,Sydney,Hard,A,20070108,6,103516,Nathan Healey,R,180.0,AUS,26.86,102905,Stefan Koubek,L,175.0,AUT,30.02,6-3 7-5,3,R32,77.0,4.0,5.0,62.0,34.0,25.0,18.0,11.0,1.0,2.0,1.0,3.0,79.0,53.0,27.0,16.0,10.0,15.0,18.0,163.0,258.0,62.0,605.0,0.06,0.08,0.55,0.45,0.4,0.29,13.0,8.0,0.01,0.04,0.67,0.33,0.34,0.2,2007,25-29
140,2007-338,Sydney,Hard,A,20070108,9,104269,Fernando Verdasco,L,188.0,ESP,23.15,103206,Sebastien Grosjean,R,175.0,FRA,28.61,6-4 6-4,3,R32,86.0,2.0,3.0,59.0,39.0,29.0,10.0,10.0,3.0,5.0,1.0,4.0,73.0,39.0,26.0,12.0,10.0,6.0,10.0,35.0,910.0,28.0,965.0,0.03,0.05,0.66,0.34,0.49,0.17,12.0,8.0,0.01,0.05,0.53,0.47,0.36,0.16,2007,20-24
152,2007-338,Sydney,Hard,A,20070108,21,102845,Carlos Moya,R,190.0,ESP,30.37,104269,Fernando Verdasco,L,188.0,ESP,23.15,4-6 7-6(9) 6-3,3,R16,128.0,6.0,8.0,106.0,66.0,45.0,20.0,16.0,6.0,11.0,5.0,6.0,93.0,63.0,44.0,12.0,15.0,5.0,10.0,44.0,790.0,35.0,910.0,0.06,0.08,0.62,0.38,0.42,0.19,16.0,15.0,0.05,0.06,0.68,0.32,0.47,0.13,2007,30-34
156,2007-338,Sydney,Hard,A,20070108,25,103781,Jurgen Melzer,L,183.0,AUT,25.63,104607,Tomas Berdych,R,196.0,CZE,21.31,6-2 6-4,3,QF,60.0,5.0,0.0,49.0,29.0,21.0,16.0,9.0,0.0,0.0,7.0,3.0,53.0,32.0,22.0,9.0,9.0,1.0,4.0,40.0,865.0,13.0,1655.0,0.1,0.0,0.59,0.41,0.43,0.33,12.0,6.0,0.13,0.06,0.6,0.4,0.42,0.17,2007,25-29
169,2007-580,Australian Open,Hard,G,20070115,7,103852,Feliciano Lopez,L,188.0,ESP,25.32,104001,Brian Wilson,R,190.0,USA,24.65,7-6(8) 4-6 6-2 7-6(3),5,R128,177.0,19.0,2.0,133.0,85.0,71.0,27.0,22.0,2.0,3.0,13.0,3.0,159.0,104.0,76.0,26.0,21.0,9.0,10.0,79.0,486.0,279.0,140.0,0.14,0.02,0.64,0.36,0.53,0.2,22.0,21.0,0.08,0.02,0.65,0.35,0.48,0.16,2007,25-29
176,2007-580,Australian Open,Hard,G,20070115,14,103722,Florent Serra,R,180.0,FRA,25.88,103534,Nicolas Devilder,L,173.0,FRA,26.81,7-5 6-2 6-4,5,R128,131.0,4.0,1.0,93.0,48.0,33.0,29.0,15.0,3.0,4.0,7.0,2.0,113.0,59.0,36.0,28.0,15.0,10.0,15.0,76.0,510.0,97.0,433.0,0.04,0.01,0.52,0.48,0.35,0.31,19.0,11.0,0.06,0.02,0.52,0.48,0.32,0.25,2007,25-29
177,2007-580,Australian Open,Hard,G,20070115,15,103781,Jurgen Melzer,L,183.0,AUT,25.65,103333,Ivo Karlovic,R,208.0,CRO,27.88,6-4 6-4 7-6(6),5,R128,122.0,1.0,4.0,116.0,77.0,61.0,22.0,16.0,4.0,4.0,27.0,3.0,83.0,50.0,47.0,19.0,16.0,1.0,3.0,32.0,925.0,94.0,441.0,0.01,0.03,0.66,0.34,0.53,0.19,18.0,14.0,0.33,0.04,0.6,0.4,0.57,0.23,2007,25-29
183,2007-580,Australian Open,Hard,G,20070115,21,103285,Radek Stepanek,R,185.0,CZE,28.13,103566,Michael Llodra,L,190.0,FRA,26.66,6-2 6-4 6-0,5,R128,76.0,15.0,1.0,58.0,41.0,38.0,11.0,12.0,1.0,1.0,1.0,1.0,83.0,59.0,33.0,9.0,12.0,5.0,11.0,20.0,1285.0,93.0,441.0,0.26,0.02,0.71,0.29,0.66,0.19,18.0,6.0,0.01,0.01,0.71,0.29,0.4,0.11,2007,25-29
197,2007-580,Australian Open,Hard,G,20070115,35,103694,Olivier Rochus,R,168.0,BEL,25.99,104589,Chris Guccione,L,201.0,AUS,21.46,3-6 7-5 7-5 6-7(4) 9-7,5,R128,237.0,6.0,6.0,170.0,108.0,92.0,36.0,30.0,10.0,11.0,45.0,3.0,206.0,131.0,106.0,32.0,31.0,9.0,12.0,39.0,895.0,106.0,402.0,0.04,0.04,0.64,0.36,0.54,0.21,32.0,29.0,0.22,0.01,0.64,0.36,0.51,0.16,2007,25-29
204,2007-580,Australian Open,Hard,G,20070115,42,104635,Robert Smeets,L,188.0,AUS,21.18,105041,Lukas Lacko,R,185.0,SVK,19.2,6-2 3-6 6-1 6-4,5,R128,109.0,14.0,4.0,101.0,53.0,46.0,27.0,17.0,5.0,6.0,5.0,5.0,108.0,64.0,42.0,24.0,17.0,9.0,14.0,360.0,96.0,193.0,205.0,0.14,0.04,0.52,0.48,0.46,0.27,21.0,13.0,0.05,0.05,0.59,0.41,0.39,0.22,2007,20-24
209,2007-580,Australian Open,Hard,G,20070115,47,104180,Gilles Muller,L,193.0,LUX,23.69,103292,Gaston Gaudio,R,175.0,ARG,28.1,6-0 4-6 6-2 6-3,5,R128,121.0,24.0,3.0,93.0,61.0,49.0,19.0,17.0,3.0,4.0,5.0,9.0,98.0,56.0,36.0,18.0,16.0,1.0,7.0,116.0,376.0,34.0,915.0,0.26,0.03,0.66,0.34,0.53,0.2,22.0,11.0,0.05,0.09,0.57,0.43,0.37,0.18,2007,20-24
217,2007-580,Australian Open,Hard,G,20070115,55,105223,Juan Martin Del Potro,R,198.0,ARG,18.31,103035,Alessio Di Mauro,L,185.0,ITA,29.43,6-3 6-3 6-1,5,R128,100.0,0.0,2.0,70.0,48.0,35.0,17.0,13.0,3.0,4.0,5.0,4.0,72.0,37.0,21.0,15.0,12.0,4.0,10.0,73.0,515.0,92.0,447.0,0.0,0.03,0.69,0.31,0.5,0.24,18.0,7.0,0.07,0.06,0.51,0.49,0.29,0.21,2007,<20
222,2007-580,Australian Open,Hard,G,20070115,60,103813,Jarkko Nieminen,L,185.0,FIN,25.48,102834,Paul Goldstein,R,178.0,USA,30.45,5-7 6-2 7-6(4) 6-4,5,R128,182.0,9.0,10.0,144.0,81.0,58.0,26.0,21.0,11.0,17.0,9.0,5.0,135.0,66.0,43.0,32.0,21.0,7.0,15.0,18.0,1360.0,70.0,551.0,0.06,0.07,0.56,0.44,0.4,0.18,23.0,19.0,0.07,0.04,0.49,0.51,0.32,0.24,2007,25-29
226,2007-580,Australian Open,Hard,G,20070115,64,104745,Rafael Nadal,L,185.0,ESP,20.62,103470,Robert Kendrick,R,190.0,USA,27.17,7-6(6) 6-3 6-2,5,R128,127.0,7.0,2.0,87.0,53.0,40.0,24.0,15.0,0.0,0.0,7.0,6.0,98.0,56.0,42.0,16.0,14.0,4.0,7.0,2.0,4525.0,90.0,458.0,0.08,0.02,0.61,0.39,0.46,0.28,18.0,11.0,0.07,0.06,0.57,0.43,0.43,0.16,2007,20-24
230,2007-580,Australian Open,Hard,G,20070115,68,104925,Novak Djokovic,R,188.0,SRB,19.65,103852,Feliciano Lopez,L,188.0,ESP,25.32,6-2 7-5 6-1,5,R64,121.0,8.0,1.0,86.0,59.0,41.0,18.0,14.0,4.0,5.0,5.0,6.0,90.0,53.0,34.0,12.0,13.0,9.0,15.0,15.0,1530.0,79.0,486.0,0.09,0.01,0.69,0.31,0.48,0.21,19.0,8.0,0.06,0.07,0.59,0.41,0.38,0.13,2007,<20
234,2007-580,Australian Open,Hard,G,20070115,72,103990,Tommy Robredo,R,180.0,ESP,24.71,103781,Jurgen Melzer,L,183.0,AUT,25.65,6-1 6-3 6-3,5,R64,98.0,5.0,1.0,81.0,54.0,38.0,14.0,13.0,3.0,5.0,1.0,4.0,79.0,53.0,24.0,11.0,12.0,7.0,14.0,6.0,2455.0,32.0,925.0,0.06,0.01,0.67,0.33,0.47,0.17,18.0,7.0,0.01,0.05,0.67,0.33,0.3,0.14,2007,20-24
236,2007-580,Australian Open,Hard,G,20070115,74,101885,Wayne Arthurs,L,190.0,AUS,35.83,103530,Zack Fleishman,R,188.0,USA,26.83,6-7(5) 6-1 6-4 6-4,5,R64,140.0,26.0,8.0,120.0,77.0,62.0,23.0,20.0,3.0,4.0,11.0,12.0,113.0,53.0,44.0,28.0,19.0,3.0,8.0,163.0,258.0,170.0,240.0,0.22,0.07,0.64,0.36,0.52,0.19,24.0,15.0,0.1,0.11,0.47,0.53,0.39,0.25,2007,35-39
247,2007-580,Australian Open,Hard,G,20070115,85,104607,Tomas Berdych,R,196.0,CZE,21.33,104635,Robert Smeets,L,188.0,AUS,21.18,6-3 6-2 6-4,5,R64,115.0,4.0,4.0,99.0,64.0,49.0,17.0,14.0,8.0,9.0,11.0,7.0,105.0,57.0,40.0,16.0,13.0,14.0,19.0,13.0,1670.0,360.0,96.0,0.04,0.04,0.65,0.35,0.49,0.17,18.0,9.0,0.1,0.07,0.54,0.46,0.38,0.15,2007,20-24
250,2007-580,Australian Open,Hard,G,20070115,88,103786,Nikolay Davydenko,R,178.0,RUS,25.62,104180,Gilles Muller,L,193.0,LUX,23.69,6-4 6-0 6-3,5,R64,101.0,7.0,0.0,79.0,53.0,39.0,16.0,12.0,2.0,2.0,15.0,2.0,87.0,58.0,34.0,12.0,13.0,4.0,10.0,3.0,2825.0,116.0,376.0,0.09,0.0,0.67,0.33,0.49,0.2,18.0,7.0,0.17,0.02,0.67,0.33,0.39,0.14,2007,25-29
252,2007-580,Australian Open,Hard,G,20070115,90,104068,Robby Ginepri,R,183.0,USA,24.27,104999,Mischa Zverev,L,190.0,GER,19.4,6-4 7-5 6-1,5,R64,123.0,10.0,2.0,100.0,65.0,49.0,17.0,15.0,5.0,6.0,9.0,4.0,130.0,86.0,56.0,17.0,14.0,15.0,20.0,52.0,725.0,153.0,298.0,0.1,0.02,0.65,0.35,0.49,0.17,19.0,10.0,0.07,0.03,0.66,0.34,0.43,0.13,2007,20-24
255,2007-580,Australian Open,Hard,G,20070115,93,104918,Andy Murray,R,190.0,GBR,19.67,104269,Fernando Verdasco,L,188.0,ESP,23.17,7-6(4) 7-5 6-4,5,R64,168.0,4.0,0.0,109.0,57.0,38.0,26.0,17.0,3.0,8.0,7.0,7.0,109.0,69.0,42.0,14.0,17.0,10.0,17.0,16.0,1505.0,35.0,910.0,0.04,0.0,0.52,0.48,0.35,0.24,19.0,15.0,0.06,0.06,0.63,0.37,0.39,0.13,2007,<20
256,2007-580,Australian Open,Hard,G,20070115,94,103428,Juan Ignacio Chela,R,190.0,ARG,27.38,103813,Jarkko Nieminen,L,185.0,FIN,25.48,6-3 2-6 6-4 6-4,5,R64,160.0,6.0,3.0,111.0,65.0,47.0,26.0,19.0,4.0,8.0,4.0,2.0,114.0,68.0,47.0,22.0,18.0,7.0,12.0,33.0,920.0,18.0,1360.0,0.05,0.03,0.59,0.41,0.42,0.23,20.0,17.0,0.04,0.02,0.6,0.4,0.41,0.19,2007,25-29
258,2007-580,Australian Open,Hard,G,20070115,96,104745,Rafael Nadal,L,185.0,ESP,20.62,104259,Philipp Kohlschreiber,R,178.0,GER,23.25,7-5 6-3 4-6 6-2,5,R64,210.0,4.0,6.0,125.0,81.0,57.0,22.0,20.0,9.0,13.0,8.0,3.0,128.0,68.0,41.0,30.0,19.0,14.0,21.0,2.0,4525.0,61.0,631.0,0.03,0.05,0.65,0.35,0.46,0.18,23.0,16.0,0.06,0.02,0.53,0.47,0.32,0.23,2007,20-24
274,2007-580,Australian Open,Hard,G,20070115,112,104745,Rafael Nadal,L,185.0,ESP,20.62,104527,Stanislas Wawrinka,R,183.0,SUI,21.8,6-2 6-2 6-2,5,R32,123.0,1.0,3.0,69.0,51.0,43.0,7.0,12.0,0.0,1.0,4.0,2.0,92.0,52.0,30.0,13.0,12.0,4.0,11.0,2.0,4525.0,40.0,885.0,0.01,0.04,0.74,0.26,0.62,0.1,18.0,6.0,0.04,0.02,0.57,0.43,0.33,0.14,2007,20-24
282,2007-580,Australian Open,Hard,G,20070115,120,104745,Rafael Nadal,L,185.0,ESP,20.62,104918,Andy Murray,R,190.0,GBR,19.67,6-7(3) 6-4 4-6 6-3 6-1,5,R16,231.0,5.0,1.0,155.0,113.0,78.0,23.0,24.0,14.0,17.0,15.0,9.0,160.0,84.0,62.0,33.0,24.0,9.0,16.0,2.0,4525.0,16.0,1505.0,0.03,0.01,0.73,0.27,0.5,0.15,28.0,20.0,0.09,0.06,0.52,0.48,0.39,0.21,2007,20-24
286,2007-580,Australian Open,Hard,G,20070115,124,103602,Fernando Gonzalez,R,183.0,CHI,26.46,104745,Rafael Nadal,L,185.0,ESP,20.62,6-2 6-4 6-3,5,QF,125.0,10.0,0.0,83.0,55.0,40.0,17.0,13.0,3.0,3.0,1.0,2.0,79.0,56.0,39.0,8.0,14.0,3.0,8.0,9.0,2015.0,2.0,4525.0,0.12,0.0,0.66,0.34,0.48,0.2,18.0,9.0,0.01,0.03,0.71,0.29,0.49,0.1,2007,25-29
294,2007-499,Delray Beach,Hard,A,20070128,505,104812,Scoville Jenkins,R,188.0,USA,20.35,104372,Alex Bogdanovic,L,183.0,GBR,22.69,6-3 7-6(3),3,R32,86.0,6.0,1.0,70.0,59.0,38.0,6.0,10.0,8.0,10.0,5.0,6.0,77.0,48.0,35.0,8.0,11.0,6.0,10.0,390.0,83.0,141.0,328.0,0.09,0.01,0.84,0.16,0.54,0.09,12.0,9.0,0.06,0.08,0.62,0.38,0.45,0.1,2007,20-24
303,2007-499,Delray Beach,Hard,A,20070128,514,104268,Alejandro Falla,L,185.0,COL,23.21,104660,Sergiy Stakhovsky,R,193.0,UKR,21.06,6-4 6-4,3,R32,76.0,2.0,0.0,64.0,45.0,30.0,10.0,10.0,6.0,8.0,2.0,2.0,67.0,42.0,26.0,10.0,10.0,6.0,10.0,103.0,410.0,198.0,206.0,0.03,0.0,0.7,0.3,0.47,0.16,12.0,8.0,0.03,0.03,0.63,0.37,0.39,0.15,2007,20-24
307,2007-499,Delray Beach,Hard,A,20070128,518,105028,Jesse Levine,L,175.0,CAN,19.29,103997,Lukasz Kubot,R,190.0,POL,24.7,6-3 6-2,3,R32,64.0,5.0,1.0,49.0,35.0,25.0,8.0,8.0,2.0,3.0,2.0,1.0,56.0,41.0,21.0,7.0,9.0,2.0,7.0,508.0,52.0,118.0,367.0,0.1,0.02,0.71,0.29,0.51,0.16,12.0,5.0,0.04,0.02,0.73,0.27,0.38,0.12,2007,<20
308,2007-499,Delray Beach,Hard,A,20070128,519,103794,Benjamin Becker,R,178.0,GER,25.62,105028,Jesse Levine,L,175.0,CAN,19.29,6-3 6-3,3,RR,56.0,3.0,0.0,52.0,24.0,20.0,19.0,9.0,2.0,2.0,4.0,5.0,51.0,36.0,29.0,4.0,9.0,5.0,8.0,54.0,692.0,508.0,52.0,0.06,0.0,0.46,0.54,0.38,0.37,12.0,6.0,0.08,0.1,0.71,0.29,0.57,0.08,2007,25-29
309,2007-499,Delray Beach,Hard,A,20070128,520,105028,Jesse Levine,L,175.0,CAN,19.29,103240,Kevin Kim,R,180.0,USA,28.51,6-2 6-2,3,RR,44.0,6.0,0.0,36.0,19.0,17.0,15.0,8.0,0.0,0.0,3.0,4.0,47.0,24.0,15.0,8.0,8.0,2.0,6.0,508.0,52.0,107.0,403.0,0.17,0.0,0.53,0.47,0.47,0.42,12.0,4.0,0.06,0.09,0.51,0.49,0.32,0.17,2007,<20
313,2007-499,Delray Beach,Hard,A,20070128,524,104268,Alejandro Falla,L,185.0,COL,23.21,102783,Rainer Schuettler,R,180.0,GER,30.76,6-4 6-3,3,RR,65.0,2.0,1.0,47.0,30.0,22.0,12.0,9.0,1.0,2.0,5.0,6.0,62.0,32.0,21.0,12.0,10.0,1.0,5.0,103.0,410.0,99.0,428.0,0.04,0.02,0.64,0.36,0.47,0.26,12.0,7.0,0.08,0.1,0.52,0.48,0.34,0.19,2007,20-24
327,2007-499,Delray Beach,Hard,A,20070128,538,103598,Xavier Malisse,R,185.0,BEL,26.53,104268,Alejandro Falla,L,185.0,COL,23.21,6-4 7-6(6),3,RR,96.0,8.0,3.0,64.0,34.0,30.0,17.0,11.0,0.0,1.0,6.0,1.0,80.0,45.0,27.0,21.0,11.0,7.0,9.0,31.0,935.0,103.0,410.0,0.12,0.05,0.53,0.47,0.47,0.27,12.0,10.0,0.08,0.01,0.56,0.44,0.34,0.26,2007,25-29
336,2007-2276,Zagreb,Carpet,A,20070129,8,102967,Marc Gicquel,R,188.0,FRA,29.83,104269,Fernando Verdasco,L,188.0,ESP,23.21,6-4 7-6(7),3,R32,88.0,6.0,1.0,69.0,40.0,30.0,20.0,11.0,3.0,4.0,5.0,4.0,77.0,48.0,34.0,15.0,11.0,1.0,3.0,48.0,742.0,34.0,910.0,0.09,0.01,0.58,0.42,0.43,0.29,12.0,10.0,0.06,0.05,0.62,0.38,0.44,0.19,2007,25-29
337,2007-2276,Zagreb,Carpet,A,20070129,9,103566,Michael Llodra,L,190.0,FRA,26.7,104019,Kristof Vliegen,R,193.0,BEL,24.61,6-7(3) 7-6(6) 6-3,3,R32,124.0,7.0,1.0,97.0,88.0,69.0,7.0,17.0,0.0,0.0,14.0,1.0,107.0,66.0,53.0,24.0,16.0,6.0,7.0,76.0,491.0,41.0,830.0,0.07,0.01,0.91,0.09,0.71,0.07,18.0,15.0,0.13,0.01,0.62,0.38,0.5,0.22,2007,25-29
345,2007-2276,Zagreb,Carpet,A,20070129,17,103344,Ivan Ljubicic,R,193.0,CRO,27.87,102905,Stefan Koubek,L,175.0,AUT,30.07,7-6(6) 6-7(5) 6-4,3,R16,148.0,26.0,4.0,101.0,61.0,57.0,20.0,17.0,0.0,0.0,8.0,7.0,119.0,69.0,55.0,27.0,17.0,6.0,7.0,8.0,2325.0,58.0,634.0,0.26,0.04,0.6,0.4,0.56,0.2,18.0,16.0,0.07,0.06,0.58,0.42,0.46,0.23,2007,25-29
349,2007-2276,Zagreb,Carpet,A,20070129,21,103566,Michael Llodra,L,190.0,FRA,26.7,103333,Ivo Karlovic,R,208.0,CRO,27.92,6-4 7-6(8),3,R16,86.0,3.0,0.0,63.0,47.0,41.0,12.0,11.0,3.0,3.0,18.0,3.0,73.0,53.0,43.0,10.0,11.0,3.0,4.0,76.0,491.0,93.0,441.0,0.05,0.0,0.75,0.25,0.65,0.19,12.0,10.0,0.25,0.04,0.73,0.27,0.59,0.14,2007,25-29
355,2007-2276,Zagreb,Carpet,A,20070129,27,103580,Alexander Peya,R,183.0,AUT,26.59,103566,Michael Llodra,L,190.0,FRA,26.7,6-3 6-3,3,QF,76.0,3.0,2.0,58.0,41.0,28.0,8.0,9.0,5.0,7.0,4.0,2.0,74.0,55.0,27.0,8.0,9.0,8.0,13.0,134.0,338.0,76.0,491.0,0.05,0.03,0.71,0.29,0.48,0.14,12.0,6.0,0.05,0.03,0.74,0.26,0.36,0.11,2007,25-29
457,2007-533,Costa Do Sauipe,Clay,A,20070212,2,103534,Nicolas Devilder,L,173.0,FRA,26.89,104297,Rogerio Dutra Silva,R,178.0,BRA,23.03,6-1 6-3,3,R32,77.0,2.0,0.0,48.0,35.0,26.0,8.0,8.0,0.0,0.0,2.0,2.0,56.0,30.0,18.0,10.0,8.0,2.0,6.0,104.0,416.0,213.0,190.0,0.04,0.0,0.73,0.27,0.54,0.17,12.0,4.0,0.04,0.04,0.54,0.46,0.32,0.18,2007,25-29
