,tourney_id,tourney_name,surface,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,w_ace_pct,w_df_pct,w_1stIn_pct,w_2ndIn_pct,w_1stWon_pct,w_2ndWon_pct,w_GmsWon,w_GmsLoss,l_ace_pct,l_df_pct,l_1stIn_pct,l_2ndIn_pct,l_1stWon_pct,l_2ndWon_pct,year,winner_age_bucket
101,2000-301,Auckland,Hard,A,20000110,9,102854,Sjeng Schalken,R,193.0,NED,23.34,101964,Goran Ivanisevic,L,193.0,CRO,28.33,6-1 4-6 6-4,3,R32,90.0,5.0,3.0,68.0,43.0,30.0,17.0,13.0,4.0,7.0,11.0,10.0,87.0,43.0,33.0,14.0,14.0,5.0,11.0,37.0,843.0,68.0,571.0,0.07,0.04,0.63,0.37,0.44,0.25,16.0,11.0,0.13,0.11,0.49,0.51,0.38,0.16,2000,20-24
124,2000-338,Sydney,Hard,A,20000110,1,101532,Francisco Clavet,L,183.0,ESP,31.21,102856,Gustavo Kuerten,R,190.0,BRA,23.33,6-4 3-6 6-4,3,R32,114.0,1.0,1.0,85.0,54.0,44.0,14.0,14.0,4.0,5.0,6.0,8.0,100.0,56.0,48.0,19.0,15.0,6.0,8.0,39.0,826.0,5.0,2169.0,0.01,0.01,0.64,0.36,0.52,0.16,15.0,14.0,0.06,0.08,0.56,0.44,0.48,0.19,2000,30-34
129,2000-338,Sydney,Hard,A,20000110,6,102271,Hicham Arazi,L,175.0,MAR,26.23,102456,Felix Mantilla,R,180.0,ESP,25.3,6-3 6-4,3,R32,67.0,4.0,2.0,66.0,43.0,34.0,11.0,10.0,6.0,6.0,3.0,2.0,51.0,27.0,19.0,14.0,9.0,0.0,2.0,42.0,786.0,25.0,1174.0,0.06,0.03,0.65,0.35,0.52,0.17,12.0,7.0,0.06,0.04,0.53,0.47,0.37,0.27,2000,25-29
130,2000-338,Sydney,Hard,A,20000110,7,101792,Slava Dosedel,R,183.0,CZE,29.41,101185,Mark Woodforde,L,188.0,AUS,34.3,6-3 6-3,3,R32,74.0,0.0,0.0,70.0,54.0,30.0,15.0,9.0,10.0,11.0,1.0,1.0,58.0,40.0,23.0,8.0,9.0,3.0,7.0,69.0,564.0,128.0,297.0,0.0,0.0,0.77,0.23,0.43,0.21,12.0,6.0,0.02,0.02,0.69,0.31,0.4,0.14,2000,25-29
140,2000-338,Sydney,Hard,A,20000110,17,103720,Lleyton Hewitt,R,180.0,AUS,18.87,101532,Francisco Clavet,L,183.0,ESP,31.21,6-3 6-2,3,R16,79.0,3.0,1.0,59.0,27.0,21.0,16.0,9.0,1.0,2.0,0.0,1.0,46.0,32.0,18.0,7.0,8.0,3.0,7.0,21.0,1232.0,39.0,826.0,0.05,0.02,0.46,0.54,0.36,0.27,12.0,5.0,0.0,0.02,0.7,0.3,0.39,0.15,2000,<20
142,2000-338,Sydney,Hard,A,20000110,19,102374,Alex Corretja,R,180.0,ESP,25.75,102271,Hicham Arazi,L,175.0,MAR,26.23,3-6 6-3 7-6(4),3,R16,125.0,7.0,2.0,107.0,58.0,43.0,28.0,15.0,8.0,10.0,3.0,2.0,93.0,51.0,40.0,24.0,15.0,2.0,4.0,28.0,1058.0,42.0,786.0,0.07,0.02,0.54,0.46,0.4,0.26,15.0,15.0,0.03,0.02,0.55,0.45,0.43,0.26,2000,25-29
147,2000-338,Sydney,Hard,A,20000110,24,102839,Nicolas Lapentti,R,188.0,ECU,23.41,102905,Stefan Koubek,L,175.0,AUT,23.02,4-6 6-0 6-4,3,R16,92.0,6.0,4.0,81.0,49.0,38.0,16.0,13.0,5.0,7.0,2.0,3.0,68.0,41.0,27.0,12.0,13.0,3.0,8.0,7.0,1966.0,40.0,788.0,0.07,0.05,0.6,0.4,0.47,0.2,16.0,10.0,0.03,0.04,0.6,0.4,0.4,0.18,2000,20-24
155,2000-580,Australian Open,Hard,G,20000117,1,101736,Andre Agassi,R,180.0,USA,29.72,103264,Mariano Puerta,L,180.0,ARG,21.33,6-2 6-2 6-3,5,R128,87.0,6.0,1.0,61.0,40.0,32.0,17.0,13.0,1.0,1.0,7.0,4.0,79.0,49.0,31.0,8.0,12.0,4.0,10.0,1.0,4135.0,112.0,353.0,0.1,0.02,0.66,0.34,0.52,0.28,19.0,6.0,0.09,0.05,0.62,0.38,0.39,0.1,2000,25-29
158,2000-580,Australian Open,Hard,G,20000117,4,101889,Todd Woodbridge,R,178.0,AUS,28.79,101733,Jan Siemerink,L,183.0,NED,29.76,6-4 6-1 6-3,5,R128,102.0,1.0,2.0,82.0,56.0,42.0,14.0,13.0,2.0,2.0,4.0,4.0,79.0,43.0,27.0,15.0,13.0,3.0,8.0,204.0,166.0,93.0,432.0,0.01,0.02,0.68,0.32,0.51,0.17,18.0,8.0,0.05,0.05,0.54,0.46,0.34,0.19,2000,25-29
159,2000-580,Australian Open,Hard,G,20000117,5,102776,Andrew Ilie,R,180.0,AUS,23.75,101543,Jeff Tarango,L,180.0,USA,31.16,6-3 7-6(4) 4-6 6-3,5,R128,147.0,17.0,5.0,146.0,76.0,54.0,40.0,20.0,6.0,10.0,7.0,9.0,113.0,61.0,48.0,21.0,20.0,5.0,10.0,46.0,732.0,65.0,599.0,0.12,0.03,0.52,0.48,0.37,0.27,21.0,19.0,0.06,0.08,0.54,0.46,0.42,0.19,2000,20-24
